collection_id,type,type_sub,name,name_en,filename,rarity,price_type,price,flavor,flavor_en
1001,animmal,none,サル,サル_en,zoo01.png,1,coin,1500,サルの中では最もペットにしやすいサル。漫画で出てくる肩に乗るサルといえばこれ。,サルの中では最もペットにしやすいサル。漫画で出てくる肩に乗るサルといえばこれ。_en
1002,animmal,none,シマウマ,シマウマ_en,zoo02.png,1,coin,1500,名前にはウマがついているが生態はロバに近い。しましまはおしゃれの為ではなく、外敵から身を守るための鎧。,名前にはウマがついているが生態はロバに近い。しましまはおしゃれの為ではなく、外敵から身を守るための鎧。_en
1003,animmal,none,クマ,クマ_en,zoo03.png,1,coin,1500,キャラクターにすると可愛すぎる生き物に見えるが実物は激しく凶暴。万が一出会ったらとにかく逃げること。,キャラクターにすると可愛すぎる生き物に見えるが実物は激しく凶暴。万が一出会ったらとにかく逃げること。_en
1004,animmal,none,ワニ,ワニ_en,zoo04.png,1,coin,1500,超肉食な動物。その歯は何度でも生え変わり、カッターのようにするどい。,超肉食な動物。その歯は何度でも生え変わり、カッターのようにするどい。_en
1005,animmal,none,ゾウ,ゾウ_en,zoo05.png,1,coin,1500,大きな耳が特徴のゾウ。インドゾウよりも気性が荒く、サーカスなどには向かない。,大きな耳が特徴のゾウ。インドゾウよりも気性が荒く、サーカスなどには向かない。_en
1006,animmal,none,カンガルー,カンガルー_en,zoo06.png,1,coin,1500,発情期のオスは尻尾で立ってケンカする。そんなオスに争われるメスの気持ちはきっと誰にもわからない。,発情期のオスは尻尾で立ってケンカする。そんなオスに争われるメスの気持ちはきっと誰にもわからない。_en
1007,animmal,none,キリン,キリン_en,zoo07.png,1,coin,3000,体が大きく、1トンくらいの体重は当たり前。日本の法律ではペットとして飼える。餌台は1日3000円くらい。,体が大きく、1トンくらいの体重は当たり前。日本の法律ではペットとして飼える。餌台は1日3000円くらい。_en
1008,animmal,none,パンダ,パンダ_en,zoo08.png,1,coin,3000,短い尻尾やもふもふした体毛が愛らしい動物。中国では「熊猫」でパンダと読むらしい。,短い尻尾やもふもふした体毛が愛らしい動物。中国では「熊猫」でパンダと読むらしい。_en
1009,animmal,none,ゴリラ,ゴリラ_en,zoo09.png,1,coin,3000,見た目はいかついが木の実が好物の草食系。40〜50年程生きるので簡単には飼えない。,見た目はいかついが木の実が好物の草食系。40〜50年程生きるので簡単には飼えない。_en
1010,animmal,none,ライオン,ライオン_en,zoo10.png,1,coin,3000,百獣の王で超有名な肉食獣。毎日10キロ近くの肉を食べないと栄養的に持たない超肉食。,百獣の王で超有名な肉食獣。毎日10キロ近くの肉を食べないと栄養的に持たない超肉食。_en
1011,animmal,none,ねこ,ねこ_en,zoo11.png,1,coin,3000,飼い主のハートをわし掴みみするテクニックが素晴らしい小悪魔。たまに来てはゴロゴロ甘えていく思わせぶりなヤツ。,飼い主のハートをわし掴みみするテクニックが素晴らしい小悪魔。たまに来てはゴロゴロ甘えていく思わせぶりなヤツ。_en
1012,animmal,none,いぬ,いぬ_en,zoo12.png,1,coin,3000,ペット界の重鎮。はるか太古の時代から人間と伴に生きてきた協調性のある動物。,ペット界の重鎮。はるか太古の時代から人間と伴に生きてきた協調性のある動物。_en
1013,animmal,none,ハムスター,ハムスター_en,zoo13.png,1,coin,3000,ごく一般的なハムスター。カラカラ走りながら永遠に回っている時は自分が何の為に生まれてきたかを考えているらしい。,ごく一般的なハムスター。カラカラ走りながら永遠に回っている時は自分が何の為に生まれてきたかを考えているらしい。_en
1014,animmal,none,うさぎ,うさぎ_en,zoo14.png,1,coin,5000,かわいい動物ランキングに必ず食い込んでくる常連。うさぎと亀の話には不満があり人権侵害と訴えている。,かわいい動物ランキングに必ず食い込んでくる常連。うさぎと亀の話には不満があり人権侵害と訴えている。_en
